tsx,ko,ja,en,zh-TW,zh-CN,th,id,vi,ar
nickname,닉네임,ニックネーム,Nickname,暱稱,昵称,ชื่อเล่น,Nama panggilan,Tên người dùng,الاسم المستعار
bio,소개,紹介,Bio,介紹,介绍,แนะนำ,Perkenalan,Giới thiệu,مقدمة
register,등록,登録,Register,註冊,注册,สมัครสมาชิก,Daftar,Đăng ký,تسجيل
noSearchResults,검색결과가 없습니다,検索結果がありません,No search results,搜尋結果為空,搜索结果为空,ไม่พบผลลัพธ์การค้นหา,Tidak ada hasil pencarian,Không có kết quả tìm kiếm,لا توجد نتائج بحث
login,로그인,ログイン,Login,登入,登录,เข้าสู่ระบบ,Masuk,Đăng nhập,تسجيل الدخول
newChapter,새 글 쓰기,新しい章を書く,Write New Chapter,寫新章節,写新章节,เขียนตอนใหม่,Tulis Bab Baru,Viết Chương Mới,كتابة فصل جديد
chapterTitle,글 제목,題名,Chapter Title,章節標題,章节标题,ชื่อบท,Judul Bab,Tiêu đề Chương,عنوان الفصل
content,내용,内容,Content,內容,内容,เนื้อหา,Konten,Nội dung,المحتوى
uploadNewWebnovel,새 작품 쓰기,新しい作品を書く,Upload New Webnovel,寫新作品,写新作品,อัพโหลดนิยายใหม่,Unggah Novel Baru,Tải Lên Tiểu Thuyết Mới,رفع رواية جديدة
webnovelTitle,작품 제목,作品タイトル,Webnovel Title,作品標題,作品标题,ชื่อเรื่อง,Judul Novel,Tiêu đề Tiểu Thuyết,عنوان الرواية
genre,장르,ジャンル,Genre,類型,类型,แนว,Genre,Thể loại,النوع
all,전체,全体,All,全部,全部,ทั้งหมด,Semua,Tất cả,الكل
romanceFantasy,로판,ロマンスファンタジー,Romance Fantasy,浪漫奇幻,浪漫奇幻,แฟนตาซีโรแมนซ์,Fantasi Romantis,Lãng Mạn Huyền Bí,رومانسية فانتازيا
romance,로맨스,ロマンス,Romance,浪漫,浪漫,โรแมนซ์,Romansa,Lãng Mạn,رومانسية
bl,BL,BL,BL (Boys' Love),BL（耽美）,BL（耽美）,bl (รักชายชาย),BL (Boys' Love),BL (Tình Yêu Đồng Tính Nam),BL (حب الأولاد)
fantasy,판타지,ファンタジー,Fantasy,奇幻,奇幻,แฟนตาซี,Fantasi,Huyền Bí,فانتازيا
sf,SF,SF,Sci-Fi,科幻,科幻,ไซไฟ,Sci-Fi,Khoa Học Viễn Tưởng,خيال علمي
korean,한국어,韓国語,Korean,韓語,韩语,ภาษาเกาหลี,Bahasa Korea,Tiếng Hàn,الكورية
english,영어,英語,English,英語,英语,ภาษาอังกฤษ,Bahasa Inggris,Tiếng Anh,الإنجليزية
japanese,일본어,日本語,Japanese,日語,日语,ภาษาญี่ปุ่น,Bahasa Jepang,Tiếng Nhật,اليابانية
chineseSimplified,중국어 (간체),中国語(簡体),Simplified Chinese,中國語（簡體）,中国语（简体）,ภาษาจีนตัวย่อ,Bahasa Tionghoa Sederhana,Tiếng Trung Giản Thể,الصينية المبسطة
chineseTraditional,중국어 (번체),中国語(繁体),Traditional Chinese,中國語（繁體）,中国语（繁体）,ภาษาจีนตัวเต็ม,Bahasa Tionghoa Tradisional,Tiếng Trung Phồn Thể,الصينية التقليدية
thai,태국어,タイ語,Thai,泰語,泰语,ภาษาไทย,Bahasa Thailand,Tiếng Thái,التايلاندية
indonesian,인도네시아어,インドネシア語,Indonesian,印尼語,印尼语,ภาษาอินโดนีเซีย,Bahasa Indonesia,Tiếng Indonesia,الإندونيسية
vietnamese,베트남어,ベトナム語,Vietnamese,越南語,越南语,ภาษาเวียดนาม,Bahasa Vietnam,Tiếng Việt,الفيتنامية
arabic,아랍어,アラビア語,Arabic,阿拉伯語,阿拉伯语,ภาษาอารบิก,Bahasa Arab,Tiếng Ả Rập,العربية
save,저장,保存,Save,儲存,保存,บันทึก,Simpan,Lưu,حفظ
description,작품 소개,作品紹介,Description,作品介紹,作品介绍,คำบรรยาย,Deskripsi,Mô Tả,وصف
number,회차,話,Number,話,回合,หมายเลขตอน,Nomor,Số,الرقم
webnovelTitle,작품명,作品名,Webnovel Title,作品名稱,作品名称,ชื่อเรื่อง,Judul Novel,Tiêu đề Tiểu Thuyết,عنوان الرواية
uploadDate,작품등록일,作品登録日,Upload Date,作品註冊日期,作品注册日期,วันที่อัพโหลด,Tanggal Unggah,Ngày Tải Lên,تاريخ الرفع
views,조회,閲覧,Views,瀏覽量,浏览量,การดู,Tampilan,Lượt Xem,المشاهدات
likes,좋아요,いいね,Likes,喜歡,喜欢,ถูกใจ,Suka,Thích,إعجاب
numberOfWebnovels,작품수,作品数,Number of Webnovels,作品數,作品数,จำนวนนิยาย,Jumlah Novel,Số Lượng Tiểu Thuyết,عدد الروايات
numTotalChapters,총 연재 글수,総連載文字数,Total Number of Chapters,總連載章節數,总连载章节数,จำนวนตอนรวม,Total Jumlah Bab,Tổng Số Chương,إجمالي عدد الفصول
authorBio,작가 소개,作家紹介,Author Bio,作者介紹,作者介绍,ประวัติผู้แต่ง,Biografi Penulis,Giới Thiệu Tác Giả,نبذة عن المؤلف
viewWebnovels,작품 보기,作品を見る,View Webnovels,查看作品,查看作品,ดูนิยาย,Lihat Novel,Xem Tiểu Thuyết,عرض الروايات
list,목록,目次,List,列表,列表,รายการ,Daftar,Danh Sách,قائمة
myLibrary,내 서재,私の書斎,My Library,我的書房,我的书架,ห้องสมุดของฉัน,Perpustakaan Saya,Thư Viện Của Tôi,مكتبتي
comments,댓글,コメント,Comments,評論,评论,ความคิดเห็น,Komentar,Nhận Xét,تعليقات
